Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
455,Business Leadership,Bachelors,"$57,600","$92,000",42%
458,English Language,Bachelors,"$52,800","$91,800",48%
459,Agricultural Business,Bachelors,"$61,300","$91,700",59%
460,American Sign Language Interpreting,Bachelors,"$52,700","$91,600",85%
460,Computer Aided Design (CAD),Bachelors,"$56,400","$91,600",-
460,Digital Arts,Bachelors,"$52,000","$91,600",36%
460,Human Resources Management (HRM),Bachelors,"$56,100","$91,600",55%
460,Merchandising Management,Bachelors,"$55,800","$91,600",48%
465,Music Performance,Bachelors,"$53,400","$91,500",56%
466,Liberal Arts,Bachelors,"$54,300","$91,400",52%
466,Public Administration,Bachelors,"$55,000","$91,400",58%
466,Geosciences,Bachelors,"$57,800","$91,400",62%
469,Retail Management,Bachelors,"$62,300","$91,300",38%
470,Radio/Television & Film Production,Bachelors,"$52,800","$91,200",41%
471,Fashion Merchandising,Bachelors,"$55,200","$91,000",29%
471,Mass Communication,Bachelors,"$52,400","$91,000",44%
471,Travel Industry Management,Bachelors,"$60,600","$91,000",-
474,Allied Health,Bachelors,"$51,300","$90,700",76%
474,Electronic Media,Bachelors,"$52,200","$90,700",38%
474,Organizational Leadership & Supervision,Bachelors,"$56,200","$90,700",51%
477,Homeland Security,Bachelors,"$57,100","$90,500",72%
477,Arts Management,Bachelors,"$46,400","$90,500",47%
477,Spanish Language,Bachelors,"$56,300","$90,500",49%
480,3D Animation,Bachelors,"$58,400","$90,400",43%
481,Business Management & Administration,Bachelors,"$60,700","$90,300",52%
481,Marine Biology,Bachelors,"$49,800","$90,300",63%
481,Nuclear Medicine Technology,Bachelors,"$70,300","$90,300",80%
481,Religious Studies,Bachelors,"$53,000","$90,300",54%
485,English Language & Literature,Bachelors,"$54,200","$90,200",44%
486,Information & Communication Technology,Bachelors,"$55,500","$90,100",54%
486,Museum Studies,Bachelors,"$44,200","$90,100",36%
488,Business Technology,Bachelors,"$64,400","$90,000",49%
488,Radiologic Science,Bachelors,"$66,000","$90,000",81%
490,Organizational Leadership,Bachelors,"$58,300","$89,900",58%
490,Animation,Bachelors,"$52,400","$89,900",35%
492,Art History,Bachelors,"$55,300","$89,800",44%
492,Management & Leadership,Bachelors,"$60,900","$89,800",56%
492,Meteorology,Bachelors,"$54,400","$89,800",53%
495,Film Production,Bachelors,"$51,800","$89,600",38%
495,Musicology,Bachelors,"$49,500","$89,600",-
495,Technical Writing,Bachelors,"$62,400","$89,600",38%
498,Administrative Management,Bachelors,"$60,900","$89,500",47%
498,Forestry Management,Bachelors,"$56,100","$89,500",68%
500,Automotive Technology & Service Management,Bachelors,"$63,200","$89,400",29%
501,Historic Preservation,Bachelors,"$48,900","$89,200",-
502,Multimedia,Bachelors,"$52,700","$89,000",44%
502,Fashion Marketing & Management,Bachelors,"$56,500","$89,000",27%
504,Organizational Management,Bachelors,"$57,200","$88,900",61%
505,Apparel Merchandising,Bachelors,"$56,700","$88,800",35%
505,Earth Science,Bachelors,"$58,700","$88,800",52%
505,Ethnic Studies,Bachelors,"$55,900","$88,800",64%
508,German Language & Literature,Bachelors,"$59,400","$88,600",44%
508,Radiology,Bachelors,"$63,800","$88,600",82%
508,Zoology,Bachelors,"$48,200","$88,600",67%
511,Human Nutrition,Bachelors,"$57,700","$88,500",81%
512,Agricultural Communication,Bachelors,"$52,400","$88,400",47%
512,Audio Engineering,Bachelors,"$55,500","$88,400",40%
512,Geomatics,Bachelors,"$59,400","$88,400",64%
515,Broadcast Journalism,Bachelors,"$51,100","$88,300",52%
516,Cytotechnology,Bachelors,"$69,100","$88,100",85%
516,Marketing & Advertising,Bachelors,"$57,000","$88,100",46%
518,Applied Management,Bachelors,"$50,600","$88,000",62%
518,Social Studies,Bachelors,"$56,600","$88,000",53%
520,Communication Design,Bachelors,"$60,600","$87,900",34%
520,Romance Languages,Bachelors,"$59,100","$87,900",57%
522,Sociology & Anthropology,Bachelors,"$53,300","$87,800",53%
523,Creative Writing,Bachelors,"$52,800","$87,700",41%
523,Human Resources (HR),Bachelors,"$55,500","$87,700",55%
525,Law Enforcement,Bachelors,"$55,200","$87,400",64%
526,Criminal Justice Administration,Bachelors,"$53,700","$87,300",61%
527,Marine Science,Bachelors,"$53,600","$87,200",63%
527,Training and Development,Bachelors,"$61,300","$87,200",-
529,Advertising & Graphic Design,Bachelors,"$55,100","$87,100",39%
529,Technical & Scientific Communication,Bachelors,"$59,200","$87,100",36%
531,Natural Resources,Bachelors,"$56,000","$86,800",57%
532,Radiologic Technology,Bachelors,"$64,000","$86,600",82%
533,Sports Administration,Bachelors,"$52,500","$86,500",46%
534,Broadcast Communication,Bachelors,"$48,700","$86,400",47%
535,Cultural Anthropology,Bachelors,"$56,400","$86,300",49%
536,Human Resources Development,Bachelors,"$57,000","$86,100",51%
537,Human Relations,Bachelors,"$53,500","$86,000",59%
537,Merchandising,Bachelors,"$61,000","$86,000",33%
537,Environmental Health Science,Bachelors,"$63,000","$86,000",-
540,Communication Management,Bachelors,"$54,400","$85,900",45%
540,Security Management,Bachelors,"$55,500","$85,900",-
542,Administration,Bachelors,"$49,700","$85,800",60%
542,Adult Education & Training,Bachelors,"$58,000","$85,800",78%
542,Health Care Management,Bachelors,"$53,000","$85,800",74%
542,Medical Laboratory Technology,Bachelors,"$66,700","$85,800",83%
546,Multimedia & Web Design,Bachelors,"$57,600","$85,700",31%
546,Psychology,Bachelors,"$52,800","$85,700",57%
548,Visual Communications,Bachelors,"$52,800","$85,600",34%
549,Emergency Management,Bachelors,"$58,900","$85,500",76%
550,Natural Resource Management,Bachelors,"$54,600","$85,300",53%
550,Hotel & Restaurant Management,Bachelors,"$56,400","$85,300",49%
552,Anthropology,Bachelors,"$55,200","$85,200",46%
552,Diagnostic Medical Imaging,Bachelors,"$70,300","$85,200",74%
554,Middle Eastern Studies,Bachelors,"$67,900","$85,100",46%
554,Painting & Printmaking,Bachelors,"$40,500","$85,100",44%
556,Criminology,Bachelors,"$52,200","$85,000",54%
556,New Media,Bachelors,"$53,100","$85,000",37%
558,Psychology & Social Behavior,Bachelors,"$53,300","$84,900",59%
559,Art & Design,Bachelors,"$53,200","$84,700",39%
560,Ecology,Bachelors,"$54,700","$84,500",58%
560,Interior Design,Bachelors,"$53,200","$84,500",51%
560,Multidisciplinary Studies,Bachelors,"$51,500","$84,500",53%
560,Hospitality Management,Bachelors,"$55,400","$84,500",43%
564,Music,Bachelors,"$52,700","$84,400",55%
565,Health Sciences,Bachelors,"$52,300","$84,300",70%
565,Sociology,Bachelors,"$54,700","$84,300",55%
567,Physical Anthropology,Bachelors,"$57,600","$84,100",-
568,Cardiopulmonary Science,Bachelors,"$58,200","$84,000",92%
569,Archaeology,Bachelors,"$52,700","$83,900",46%
569,Life Sciences,Bachelors,"$61,100","$83,900",62%
569,SocialStudies,Bachelors,"$54,200","$83,900",57%
572,Communication Arts,Bachelors,"$49,600","$83,800",40%
573,Health Information Management,Bachelors,"$57,200","$83,700",68%
573,Kinesiology,Bachelors,"$52,600","$83,700",66%
573,Clinical Laboratory Science,Bachelors,"$63,400","$83,700",82%
576,Spanish Language Teacher Education,Bachelors,"$56,700","$83,600",-
577,Child Psychology,Bachelors,"$50,500","$83,500",61%
577,Exercise Physiology,Bachelors,"$50,600","$83,500",74%
577,Respiratory Care,Bachelors,"$63,700","$83,500",85%
580,Art Therapy,Bachelors,"$47,500","$83,400",83%
580,Medical Laboratory Science,Bachelors,"$64,900","$83,400",86%
580,Secondary Education,Bachelors,"$52,100","$83,400",59%
580,Theater,Bachelors,"$52,800","$83,400",48%
584,Hospital Administration,Bachelors,"$60,100","$83,300",51%
584,Practical Nursing,Bachelors,"$72,100","$83,300",80%
586,Health,Bachelors,"$51,000","$83,200",70%
586,Health Care Administration,Bachelors,"$53,400","$83,200",68%
588,Mass Media,Bachelors,"$47,100","$82,900",46%
589,Sustainability,Bachelors,"$56,100","$82,700",58%
590,Radiography,Bachelors,"$64,700","$82,600",82%
591,Media Communication,Bachelors,"$55,000","$82,500",45%
592,Applied Behavior Analysis,Bachelors,"$44,700","$82,400",88%
592,Biological Anthropology,Bachelors,"$54,900","$82,400",47%
592,Hotel & Restaurant Tourism,Bachelors,"$50,200","$82,400",-
592,Respiratory Therapy,Bachelors,"$63,800","$82,400",84%
596,Radio & Television,Bachelors,"$50,100","$82,100",39%
597,Recreation Management,Bachelors,"$50,300","$81,900",60%
598,Humanities,Bachelors,"$58,100","$81,800",55%
599,Computer Art,Bachelors,"$45,400","$81,600",37%
600,Communications Technology,Bachelors,"$54,100","$81,500",32%
600,Psychiatry,Bachelors,"$65,900","$81,500",-
602,Commercial Photography,Bachelors,"$50,400","$81,300",26%
603,Fashion Design & Marketing,Bachelors,"$55,300","$81,200",50%
603,Interdisciplinary Studies (IS),Bachelors,"$52,200","$81,200",56%
603,Web Design,Bachelors,"$55,500","$81,200",29%
606,Legal Studies,Bachelors,"$55,000","$81,100",52%
606,Nutrition & Dietetics,Bachelors,"$59,000","$81,100",71%
608,Plant Sciences,Bachelors,"$57,400","$80,900",56%
609,Graphic Design,Bachelors,"$52,900","$80,800",38%
609,Fine Arts,Bachelors,"$50,400","$80,800",45%
611,Liberal Studies,Bachelors,"$52,800","$80,700",55%
611,Modern Languages,Bachelors,"$58,900","$80,700",54%
613,Religion,Bachelors,"$51,900","$80,600",56%
614,Medical Technology,Bachelors,"$62,800","$80,500",84%
615,Dietetics,Bachelors,"$59,700","$80,300",73%
615,Health Administration,Bachelors,"$49,500","$80,300",65%
615,Missions,Bachelors,"$46,700","$80,300",-
618,Applied Sociology,Bachelors,"$48,900","$80,100",59%
619,Criminal Justice,Bachelors,"$50,000","$80,000",56%
620,Ornamental Horticulture,Bachelors,"$47,400","$79,800",67%
620,Physical Geography,Bachelors,"$56,100","$79,800",58%
622,Landscape Management,Bachelors,"$61,100","$79,600",-
622,Ministry,Bachelors,"$42,700","$79,600",79%
622,Public Health (PH),Bachelors,"$54,000","$79,600",70%
625,Speech-Language Pathology,Bachelors,"$51,400","$79,400",68%
626,Drawing,Bachelors,"$44,300","$79,300",36%
627,Health & Fitness,Bachelors,"$45,300","$79,200",71%
628,Forensic Psychology,Bachelors,"$49,700","$79,100",57%
628,Pastoral Studies,Bachelors,"$60,800","$79,100",-
630,Culture Studies,Bachelors,"$53,500","$79,000",55%
631,Foods & Nutrition,Bachelors,"$54,500","$78,900",67%
631,Women's Studies,Bachelors,"$52,500","$78,900",60%
631,Forensic Accounting,Bachelors,"$56,200","$78,900",48%
634,Animal Science,Bachelors,"$48,300","$78,800",66%
635,Performing Arts,Bachelors,"$52,900","$78,600",57%
636,Education,Bachelors,"$52,200","$78,500",65%
637,African American & African Studies,Bachelors,"$55,900","$78,400",60%
638,Hospitality & Tourism,Bachelors,"$53,200","$78,200",41%
638,Modern Language Spanish,Bachelors,"$52,400","$78,200",65%
640,Arts & Science,Bachelors,"$53,300","$77,900",-
641,Nutrition Science,Bachelors,"$57,800","$77,800",69%
642,Speech Pathology & Audiology,Bachelors,"$53,100","$77,700",78%
643,Media Production,Bachelors,"$50,800","$77,600",36%
643,Small Business Management,Bachelors,"$54,000","$77,600",36%
645,Painting,Bachelors,"$48,500","$77,500",45%
645,Social Science Teacher Education,Bachelors,"$53,100","$77,500",-
645,Network Technology,Bachelors,"$64,100","$77,500",66%
648,Psychology & Sociology,Bachelors,"$50,700","$77,400",54%
649,Music Composition,Bachelors,"$51,200","$77,300",53%
649,Video Production,Bachelors,"$48,900","$77,300",33%
651,Dramatic Art,Bachelors,"$50,000","$76,700",-
652,Mortuary Science,Bachelors,"$49,100","$76,600",80%
652,Technical Theatre,Bachelors,"$48,000","$76,600",42%
654,Family & Consumer Science,Bachelors,"$51,300","$76,500",61%
654,Radio Broadcasting,Bachelors,"$53,100","$76,500",41%
654,Theology,Bachelors,"$51,800","$76,500",67%
657,Health Studies,Bachelors,"$50,900","$76,400",64%
658,Consumer Affairs,Bachelors,"$59,500","$76,200",44%
659,Vocal Performance,Bachelors,"$49,900","$76,100",63%
660,Art,Bachelors,"$51,000","$76,000",46%
661,Behavioral Science,Bachelors,"$50,800","$75,900",61%
661,Health Services Administration,Bachelors,"$50,100","$75,900",64%
663,General Studies,Bachelors,"$51,300","$75,800",54%
663,Photography,Bachelors,"$51,300","$75,800",39%
665,Exercise & Sports Science,Bachelors,"$49,500","$75,700",70%
665,Forensic Science,Bachelors,"$53,600","$75,700",62%
665,History Teacher Education,Bachelors,"$53,000","$75,700",48%
668,International Trade,Bachelors,"$55,700","$75,600",44%
669,Restaurant & Food Service Management,Bachelors,"$50,600","$75,500",40%
670,Health & Physical Education Teaching,Bachelors,"$46,600","$75,300",63%
671,Justice Studies,Bachelors,"$53,800","$75,200",50%
672,Tourism & Travel,Bachelors,"$46,700","$75,100",38%
673,Culinary Arts,Bachelors,"$47,800","$74,900",56%
673,Physical Education Teaching,Bachelors,"$49,700","$74,900",69%
675,Physical Therapist Assistant Studies,Bachelors,"$56,800","$74,800",-
676,Graphic Arts,Bachelors,"$49,800","$74,600",45%
677,Interior Design & Merchandising,Bachelors,"$51,700","$74,300",43%
677,Supervision & Management,Bachelors,"$49,500","$74,300",60%
679,Event Management,Bachelors,"$49,800","$74,100",41%
679,Health & Wellness,Bachelors,"$46,800","$74,100",69%
679,Music Industry,Bachelors,"$54,500","$74,100",37%
682,Clinical Psychology,Bachelors,"$49,300","$74,000",66%
682,Recreation Administration,Bachelors,"$55,500","$74,000",64%
684,Health & Exercise Science,Bachelors,"$48,300","$73,900",66%
684,Physical Education & Exercise Science,Bachelors,"$52,600","$73,900",71%
686,Recreation & Leisure Studies,Bachelors,"$48,400","$73,800",60%
687,Ceramics,Bachelors,"$51,100","$73,700",46%
687,Culinary Arts & Food Service Management,Bachelors,"$49,800","$73,700",47%
689,Secondary English Teacher Education,Bachelors,"$51,700","$73,600",62%
690,Family & Community Services,Bachelors,"$49,700","$73,500",75%
691,Instrumental Music Teacher Education,Bachelors,"$51,100","$73,200",69%
692,Health Services Management,Bachelors,"$48,900","$73,100",87%
693,Exercise Science,Bachelors,"$48,900","$72,900",72%
693,English Teacher Education,Bachelors,"$50,300","$72,900",58%
693,Paralegal Studies,Bachelors,"$47,300","$72,900",49%
696,Audio Production,Bachelors,"$51,300","$72,600",44%
697,Community Health,Bachelors,"$54,300","$72,400",72%
697,Photojournalism,Bachelors,"$48,200","$72,400",55%
699,Fashion & Retail Management,Bachelors,"$57,300","$72,300",31%
700,Dance,Bachelors,"$51,800","$72,000",60%
701,Conservation Biology,Bachelors,"$49,400","$71,600",53%
702,Parks & Recreation Management,Bachelors,"$49,700","$71,500",60%
703,Deaf Studies,Bachelors,"$43,300","$71,300",-
703,Music Teacher Education,Bachelors,"$49,600","$71,300",58%
703,Tourism Management,Bachelors,"$51,400","$71,300",39%
706,Teaching English as a Second Language (ESL),Bachelors,"$49,900","$70,900",65%
707,Organizational Administration,Bachelors,"$52,600","$70,700",-
708,Wildlife Biology,Bachelors,"$50,200","$70,400",57%
709,Educational Studies (ED),Bachelors,"$46,900","$70,300",66%
709,Elementary Special Education,Bachelors,"$52,500","$70,300",82%
711,Horticulture,Bachelors,"$49,900","$70,100",56%
712,Gender Studies,Bachelors,"$52,700","$70,000",54%
712,Landscape Design,Bachelors,"$57,900","$70,000",70%
712,Wildlife Management,Bachelors,"$45,800","$70,000",46%
715,Community Development,Bachelors,"$53,000","$69,600",70%
715,Emergency Medical Services (EMS),Bachelors,"$48,100","$69,600",-
717,Biblical Studies & Practical Ministries,Bachelors,"$44,300","$69,200",-
717,Community Health Education,Bachelors,"$50,100","$69,200",69%
717,Recording Arts,Bachelors,"$53,400","$69,200",56%
720,Health Promotion,Bachelors,"$49,500","$69,000",71%
720,Social Studies Teacher Education,Bachelors,"$50,900","$69,000",62%
722,Athletic Training,Bachelors,"$49,100","$68,900",75%
722,Pastoral Ministry,Bachelors,"$45,800","$68,900",75%
724,Communication Sciences & Disorders,Bachelors,"$52,000","$68,700",74%
725,Speech & Hearing,Bachelors,"$53,200","$68,600",70%
726,Sculpture,Bachelors,"$46,000","$68,200",49%
727,Church Ministries,Bachelors,"$43,300","$67,400",80%
728,Biblical Studies,Bachelors,"$48,400","$67,300",69%
729,Horticulture & Agronomy,Bachelors,"$60,700","$67,200",-
730,Bible Studies & Theology,Bachelors,"$46,300","$67,000",68%
731,Human Development & Family Studies,Bachelors,"$47,000","$66,400",64%
732,Family Studies,Bachelors,"$46,300","$66,100",59%
732,Legal Assistant Studies,Bachelors,"$43,300","$66,100",39%
734,Christian Ministry,Bachelors,"$44,300","$65,200",75%
735,Health and Human Services,Bachelors,"$50,600","$65,100",65%
735,Voice & Opera,Bachelors,"$39,600","$65,100",52%
737,Home Economics,Bachelors,"$49,200","$65,000",69%
737,Special Education,Bachelors,"$48,400","$65,000",74%
739,Music Therapy,Bachelors,"$49,400","$64,900",95%
740,Rehabilitation Services,Bachelors,"$43,600","$64,700",76%
741,Developmental Psychology,Bachelors,"$44,200","$63,700",-
741,Youth Ministry,Bachelors,"$44,000","$63,700",76%
743,Educational Psychology,Bachelors,"$48,100","$63,600",-
744,Community & Human Services,Bachelors,"$49,500","$63,200",79%
744,Therapeutic Recreation,Bachelors,"$46,700","$63,200",83%
746,Social Work (SW),Bachelors,"$45,000","$63,000",77%
747,Elementary Education,Bachelors,"$47,300","$62,500",68%
748,Office Administration,Bachelors,"$45,600","$62,300",68%
749,Christian Education,Bachelors,"$47,200","$62,200",84%
750,Human Services (HS),Bachelors,"$45,800","$61,400",71%
751,Child Development,Bachelors,"$43,400","$60,400",74%
752,Middle School Education,Bachelors,"$49,900","$60,200",76%
753,Recreational Therapy,Bachelors,"$45,700","$58,900",82%
754,Early Childhood & Elementary Education,Bachelors,"$44,900","$58,000",77%
755,Outdoor Education,Bachelors,"$43,400","$56,900",47%
756,Baking & Pastry Arts,Bachelors,"$43,700","$56,500",38%
757,Child & Family Studies,Bachelors,"$42,900","$55,300",73%
758,Mental Health,Bachelors,"$44,100","$54,500",79%
759,Equine Studies,Bachelors,"$42,300","$54,100",50%
760,Nonprofit Administration,Bachelors,"$43,900","$53,700",73%
761,Addictions Counseling,Bachelors,"$47,300","$52,400",78%
762,Early Childhood Education,Bachelors,"$43,400","$52,200",78%
763,Metalsmithing,Bachelors,"$45,900","$46,600",36%
